,Artist Name,Lead Streams,Feats,Tracks,One Billion,100 Million,Last Updated
801,Kylie Minogue,1760,122,906,0,2,05.09.22
955,Petit Biscuit,1494,22,86,0,1,31.07.22
296,Alejandro Fernández,4201,352,313,0,11,31.07.22
549,Andy Grammer,2431,4,79,0,5,31.07.22
287,Snoop Dogg,4300,6192,726,1,7,25.08.22
716,Santana,1933,276,714,0,4,31.07.22
641,Moneybagg Yo,2117,1313,266,0,1,31.07.22
466,MARINA,2860,62,121,0,7,19.09.22
908,Ella Henderson,1553,369,115,0,3,16.09.22
615,Don Diablo,2200,105,248,0,1,31.07.22
6,Justin Bieber,32465,10816,225,6,58,20.09.22
156,Ty Dolla $ign,6503,10647,191,0,14,03.09.22
69,Michael Jackson,9754,547,327,1,21,19.09.22
980,Megadeth,1449,,419,0,2,14.09.22
535,Cali Y El Dandee,2490,214,74,0,9,31.07.22
1000,Alanis Morissette,1426,,300,0,3,16.09.22
666,Annie Lennox,2062,9,306,0,3,02.09.22
47,Harry Styles,13347,,39,4,35,20.09.22
83,Lil Wayne,8970,14160,476,0,19,17.09.22
932,Oh Wonder,1522,700,71,0,5,09.08.22
174,Usher,5981,3241,257,0,15,15.09.22
700,Ezhel,1969,194,64,0,3,08.09.22
139,Clean Bandit,6956,24,176,3,10,31.07.22
979,Cristian Castro,1449,171,236,0,3,31.07.22
261,Zé Neto & Cristiano,4540,463,169,0,13,12.09.22
266,Bruce Springsteen,4480,47,821,0,10,11.09.22
212,The 1975,5232,156,136,0,13,13.09.22
7,Ariana Grande,32287,2052,181,8,71,19.09.22
379,Bee Gees,3383,29,470,0,6,27.08.22
170,Bastille,6158,156,205,2,10,09.09.22
26,Bruno Mars,18201,3874,81,5,32,06.09.22
349,Avenged Sevenfold,3634,1808,163,0,9,31.07.22
289,Lil Tecca,4273,302,79,1,11,12.09.22
616,Jorja Smith,2195,465,81,0,4,31.07.22
778,Leona Lewis,1806,58,116,0,5,18.09.22
120,A Boogie Wit da Hoodie,7634,3249,138,0,17,14.09.22
71,Myke Towers,9667,4145,168,0,28,20.09.22
747,MØ,1867,3388,124,0,4,31.07.22
479,Paul McCartney,2767,3009,918,0,5,14.09.22
464,Birdy,2864,14,111,0,8,15.09.22
234,The Lumineers,4894,,86,0,8,29.08.22
807,DJ Luian,1747,2738,52,0,4,31.07.22
528,Luciano,2526,440,157,0,0,20.09.22
751,Sting,1864,294,495,0,3,15.08.22
102,Migos,8212,3413,283,0,18,20.09.22
189,U2,5622,303,522,0,8,18.09.22
866,NCT 127,1633,47,138,0,2,19.09.22
42,Halsey,14151,2459,180,3,24,12.09.22
862,Lily Allen,1643,348,115,0,4,14.08.22
568,Hollywood Undead,2373,21,143,0,3,01.08.22
385,Grupo Firme,3348,503,205,0,8,31.07.22
934,Moby,1519,294,836,0,3,31.07.22
144,Anitta,6801,1407,175,0,20,02.09.22
857,*NSYNC,1656,25,89,0,5,18.09.22
503,X Ambassadors,2621,247,119,0,4,25.08.22
890,Frédéric Chopin,1580,1,9790,0,0,06.08.21
358,Lost Frequencies,3556,137,421,0,10,31.07.22
314,Lil Skies,3968,544,75,0,9,22.08.22
640,Wale,2117,1520,353,0,4,07.09.22
537,Shinedown,2479,13,197,0,6,04.09.22
164,Reik,6327,330,172,0,16,31.07.22
696,Queens of the Stone Age,1973,,140,0,5,31.07.22
803,Deftones,1750,,139,0,2,19.08.22
8,Eminem,30431,4165,301,5,65,19.09.22
364,H.E.R.,3476,3118,102,0,8,31.07.22
328,Phil Collins,3836,,339,0,9,14.08.22
444,Tim McGraw,2964,1427,318,0,7,11.08.22
359,Danny Ocean,3541,939,61,1,8,10.09.22
331,Jason Aldean,3797,,166,0,8,31.07.22
556,Joel Corry,2415,63,153,0,5,31.07.22
2,Bad Bunny,44369,5391,163,5,118,20.09.22
916,Skepta,1545,1544,146,0,2,12.09.22
758,Two Feet,1850,43,67,0,3,31.07.22
982,Bryce Vine,1444,4,81,0,4,31.07.22
497,Ufo361,2676,231,236,0,0,08.09.22
557,Daryl Hall & John Oates,2405,,555,0,6,31.07.22
425,Juanes,3046,,201,0,8,31.07.22
884,Brad Paisley,1594,80,233,0,2,31.07.22
910,Blur,1551,,356,0,2,08.08.22
150,Britney Spears,6671,689,292,0,19,19.09.22
203,Paulo Londra,5408,119,37,0,16,16.09.22
153,Guns N' Roses,6615,,139,1,10,19.09.22
811,Lionel Richie,1743,53,297,0,6,25.08.22
571,A Day To Remember,2357,,135,0,4,31.07.22
771,Surfaces,1819,,70,0,1,31.07.22
245,Jess Glynne,4712,543,82,1,10,18.09.22
963,Hungria Hip Hop,1480,71,68,0,1,31.07.22
526,Van Morrison,2542,95,864,0,4,13.09.22
514,SEVENTEEN,2580,,150,0,1,19.09.22
315,Nio Garcia,3960,174,124,0,7,31.07.22
693,Owl City,1980,93,111,0,2,31.07.22
776,The Pussycat Dolls,1813,26,56,0,5,02.09.22
223,Paramore,5095,,114,0,11,14.09.22
597,Enya,2281,342,145,0,4,10.08.22
255,Florida Georgia Line,4609,2478,124,0,15,21.08.22
753,Kevin Roldan,1860,479,147,0,2,31.07.22
495,The Game,2686,,770,0,6,17.08.22
816,Daya,1735,2131,45,0,4,31.07.22
957,Gym Class Heroes,1493,,75,0,3,31.07.22
995,SCH,1430,650,114,0,0,31.07.22
648,iann dior,2102,2291,55,0,5,31.07.22
580,Os Barões Da Pisadinha,2325,571,160,0,6,31.07.22
259,Glass Animals,4554,4,109,1,6,15.09.22
205,John Legend,5384,2403,249,1,8,31.07.22
16,Dua Lipa,22186,349,198,7,36,19.09.22
461,PNL,2889,4,72,0,5,15.09.22
994,RÜFÜS DU SOL,1431,11,148,0,2,31.07.22
686,Saweetie,2000,595,73,0,4,01.09.22
84,Young Thug,8956,9576,366,0,20,17.09.22
